SourceName,SourceLink,SourceDescription,ProcessingNotes,Added by,Distribute,Parent
Project Gutenberg,"http://www.gutenberg.org/wiki/Main_Page
Top 100 books: http://www.gutenberg.org/browse/scores/top",,"Filenames are of the form (TXT_<>_gut_)
I first selected texts from Top 100 list, then I went through alphabetically the author list
I only got up to ""E""!! But there's a large number -- should be more than sufficient
I've tried to choose a number of styles: literature, nonfiction, history, poetry, ...
For each text I've commented out the irrelevant parts; including the
information about the terms and conditions of Project Gutenberg, e.g., and have
also tried to remove any blaringly obvious bits that shouldn't be there:
""[Illustration]"" has tried to be removed, but captions are usually kept
Tables of contents and footnotes are removed, as are forewords by other authors, 
publishing information, etc.",Ben Fulcher,5,Text processing Ben
NASA data,http://data.giss.nasa.gov/,Datasets and derived material are available from the NASA GISS websites for a wide variety of research projects,,Ben Fulcher,,
CDIAC,http://cdiac.ornl.gov,Carbon Dioxide Information Analysis Center,,Ben Fulcher,,
CDIAC methane emissions,http://cdiac.ornl.gov/trends/meth/ch4.htm,"Annual Estimates of Global Anthropogenic Methane Emissions: 1860-1994
Also monthly from 1981",,Ben Fulcher,,CDIAC
CDIAC Angell Temperature,http://cdiac.ornl.gov/trends/temp/angell/angell.html,"Surface Temperature deviations derived from radiosonde records
J.K. Angell
cf. 10.3334/CDIAC/cli.005
1958-2010 (relative to a 1958-1977 average)
Surface temperatures and thickness-derived temperatures from a 63-station, globally distributed radiosonde network have been used to estimate global, hemispheric, and zonal annual and seasonal temperature deviations. Most of the temperature values used were column-mean temperatures, obtained from the differences in height (thickness) between constant-pressure surfaces at individual radiosonde stations
CITE AS: Angell, J.K. 2011. Global, hemispheric, and zonal temperature deviations derived from radiosonde records. In Trends Online: A Compendium of Data on Global Change. Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, U.S.A. doi: 10.3334/CDIAC/cli.005",,Ben Fulcher,,CDIAC
CDIAC Vostok Ice Core,http://cdiac.ornl.gov/trends/temp/domec/domec.html,"Historical Isotopic Temperature Record from the Vostok Ice Core
740,000-year Deuterium Record in an Ice Core from Dome C, Antarctica",,Ben Fulcher,,CDIAC
CDAC NDP-048,http://cdiac.ornl.gov/epubs/ndp/ndp048/ndp048.html,"Six- and Three-hourly Meteorological Observations from 223 Former U.S.S.R. Stations.
Contributed by
V. N. Razuvaev, E. B. Apasova, R. A. Martuganov All-Russian Research Institute
of Hydrometeorological Information-World Data Centre Obninsk, Russia
AIRT    is the air temperature (tenths of degrees celsius), measured 2 m above
                    ground or snow surface level.  Observations considered valid may range
                    from -70.0° to +55.0°C.  Missing observations are coded as 9999;
HCLD is the height above ground of the base of the lowest cloud.  This height is
            usually coded in hundreds of meters, as detailed in the following:
               00     =   less than or equal to 50 m with fog present;
               01-25  =   100 m to 2500 m, e.g., 10 = 1000 m;
               98     =   no clouds below 2500 m, however there may be mid- or
                          high-level clouds whose height has not been determined;
               99     =   no clouds or traces of clouds whose height has not been
                          determined; or observation is missing if both complement
                          and quality flags are set to 9 (see below);
HDEF         is the humidity deficit (saturation deficiency); the difference between the
                         saturation vapor pressure and the actual water vapor pressure at a given
                         temperature and pressure as measured in tenths of hPa.  Valid values may
                         range from 0.0 to 95.0 hPa.  Missing observations are coded as 999;
LCLD    is the low-cloud amount, estimated visually by an observer according to a
                    10-point system (i.e., in tenths of sky cover).  A value of 0 indicates no
                    low clouds present or <1/10 of the sky is covered with low clouds.  The
                    gaps between individual cloud elements, typical of some cloud genera
                    (e.g., stratocumulus and cumulus) are not to be included as part of the low
                    cloud  cover estimate (i.e., they are counted as clear sky).  Missing
                    observations are coded as 99;
PRCP    is the precipitation amount to the nearest tenth of a millimeter.
                    Observations considered valid may range from 0 to 5000 (0 mm to 500 mm).
                    Missing observations are coded as 9999.  Rain gauges are positioned
                    2 m above ground level, and were read at 0700 and 1900 LMT from 1936
                    through 1965.  In 1946, the old-style gauge (exact type unknown) was
                    replaced with the Tretyakov-type gauge (see Appendix A for the date of
                    implementation at each site).  Beginning in 1966, gauges were read at
                    0300, 0900, 1500, and 2100 MLT in timezone 2; at 0300, 0600, 1500,
                    and 1800 MLT in zones 3-5; at 0300 and 1500 MLT in zones 6-8; at
                    0000, 0300, 1200, and 1500 MLT in zones 9-11; and at 2100, 0300, 0900,
                    and 1500 MLT in zone 12.  Also, beginning in 1966, wetting corrections
                    of  0.2 mm were applied to each hourly measurement.  (Because four
                    observations per day were collected at stations in timezones 2-5 and
                    9-12, four corrections were counted in the calculation of daily totals;
                    therefore, total daily corrections are higher for stations in these areas.)
                    From 1966 onward, readings at some stations were also taken at the
                    observing hours closest to 0800 and 2000 LMT.  Beginning in 1986,
                    readings at 0300 and 1500 MLT were discontinued at all stations except
                    those in timezone 2.  (The term ""timezone"" in the preceding corresponds
                    to assigning the numbers 1-12 to 12 timezones stretching from west to
                    east across the FSU.   The timezone of each station in this
                    sense may be obtained by subtracting 1 from the value of the ZONE
                    variable in the file timezone.dat.)
PTND      is the pressure tendency value (i.e., the absolute difference between the
                      current air pressure at the station and that which was observed 3 h before).
                      The sign of PTND is indicated by the value of PCHR: if PCHR is equal to
                      0, 1, 2, or 3, then PTND is positive; if PCHR is equal to 4 then PTND
                      should equal 0; and, if PCHR is equal to 5, 6, 7, or 8, then PTND is
                      negative.  Values are given in tenths of hPa; observations considered valid
                      may range from 0.0 to 20.0 hPa, and a missing observation is coded as
                      999);
RH           is the relative humidity of the air (expressed in percent) as determined by
                         use of a psychrometer.  Relative humidity is defined as the ratio of the
                         observed vapor pressure to the saturation vapor pressure for the observed
                         air temperature.  Values of observations may range from 0 to 100%.
                         Missing observations are coded as 999;
SLP          is the sea level pressure of the air (expressed in tenths of hPa) as
                         determined by use of a barometer.  Because a station would rarely be able
                         to position a barometer precisely at sea level, the air pressure measured at
                         a station is ""reduced"" to sea level by using a standard barometric height
                         formula.  Values of observations considered valid may range from 900.0 to
                         1100.0 hPa.  At stations located above a certain elevation (500 m through
                         1980; 800 m since 1981), air pressure is not reduced to sea level, but is
                         assigned the missing code 99999;
SOILT   is the soil surface temperature, expressed in whole degrees celsius.  Soil
                    surface temperature is measured at a smooth, unshaded site that is devoid
                    of vegetation.  When the ground is snow-covered, the thermometer  is
                    placed on the snow surface and the temperature of the snow cover is
                    measured.  Observations considered valid may range from -75 to +75°C.
                    Missing observations are coded as 999;
STAP    is the pressure of the air at station level (expressed in tenths of hPa) as
                    determined by use of a barometer.  Values of observations considered valid
                    may range from 600.0 to 1100.0 hPa.  Validity is of course assessed by
                    considering factors such as the station's elevation above sea level,
                    geographic location, season, and pressures at neighboring stations.
                    Missing observations are coded as 99999;
TCLD    is the total cloud amount, estimated visually by an observer according to a
                    10-point system (i.e., in tenths of sky cover).  A value of 0 indicates no
                    clouds present or <1/10 sky cover, a value of 10 indicates an overcast sky
                    (with or without gaps amounting to <1/10 sky cover; see explanation of
                    complement flag below), and a value of 99 indicates a missing
                    observation.  The gaps between individual cloud elements, typical of some
                    cloud genera (e.g., altocumulus and stratocumulus) are not to be included
                    as part of the total cloud cover estimate (i.e., they are counted as clear sky);
TDEW    is the dew point temperature in whole degrees celsius.  The dew point
                    temperature is defined as the temperature to which moist air must be
                    cooled, with air pressure and water vapor pressure held constant, in order
                    that it just reach saturation with respect to the water in the air.  The dew
                    point is determined by using a psychrometer.  Observations considered
                    valid may range from -70° to +40°C.  Missing observations are coded as 999;
VAPORP       is the water vapor pressure of the air [expressed in tenths of hectopascals
                         (hPa)] as determined by use of a psychrometer.  The water vapor pressure
                         is the partial pressure of the water vapor contained in the air.  Values of
                         observations considered valid may range from 0.0 to 95.0 hPa.  Missing
                         observations are coded as 999;
VIS       is the horizontal visibility, given as a coded value indicating distance in
                      km.  The horizontal visibility is defined as the maximum distance at which
                      an absolutely black body of rather large angular dimensions (over 15
                      angular min) can be distinguished against the background of the sky in
                      daylight, or the distance at which an unfocused light source of a given
                      intensity becomes indistinguishable at night.  Horizontal visibility depends
                      on atmospheric phenomena.  Thus, in the fog it can be reduced to zero,
                      while in clear arctic air it can reach hundreds of kilometers.  Coded values
                      may range from 00 to 50 and from 56 to 99.  Codes 00-50 and 56-89 are
                      used when visibility is measured using instruments; codes 90-99 are used
                      when visibility is estimated visually.  The codes and their meanings are as
                      follows:
               00-50  =    indicates visibility in tenths of km (i.e., 0.0 km to 5.0 km).
                           For example, 25 = 2.5 km (00 is the code for visibility less
                           than 0.1 km);
               51-55  =    not used;
               56-80  =    the range 6 km to 30 km.  Visibility in whole kilometers
                           may be determined by subtracting 50 from the code, e.g., a
                           code of 65 indicates the visibility is 15 km;
               81     =    35 km;
               82     =    40 km;
               83     =    45 km;
               84     =    50 km;
               85     =    55 km;
               86     =    60 km;
               87     =    65 km;
               88     =    70 km;
               89     =    >70 km;
               90     =    <0.05 km;
               91     =    0.05 km;
               92     =    0.2 km;
               93     =    0.5 km;
               94     =    1 km (about 1/2 mile);
               95     =    2 km (about 1 mile);
               96     =    4 km (about 2 miles);
               97     =    10 km (about 6 miles);
               98     =    20 km (about 12 miles); and
               99     =    >50 km (>30 miles).
               If VIS = 99 with both the complement and quality flags set to 9 (see
               below), the observation is missing.
WDIR    is the direction from which the wind is blowing, as measured 10-12 m
                    above ground level.  This is a coded observation, the values for which are
                    given as follows:
               Code     Wind direction
               ---- --------------
               00   =   calm winds
               02   =   NNE
               05   =   NE
               07   =   ENE
               09   =   E
               11   =   ESE
               14   =   SE
               16   =   SSE
               18   =   S
               20   =   SSW
               23   =   SW
               25   =   WSW
               27   =   W
               29   =   WNW
               32   =   NW
               34   =   NNW
               36   =   N
               99   =   variable winds (if WDIRQF = 0; otherwise, the observation is missing);
WSPD    is the wind speed in m/s as measured 10-12 m above ground level.
                    Observations considered valid may range from 0 to 60 m/s;
","They're so big, I've only done the first 12 stations -- can easily do the rest
later if required (the interactive reading script is all coded and ready to go)
I've taken a selection of variables (labeled)
For each, I've taken the longest continuous stretch of non-missing numbers
If this is longer than 20000, I split it up into a random number of subsegments ranging from
3000--15000 points long
I have avoided including subsegments that cross between the change in sampling frequency
I have not paid any attention to the quality factor values provided",Ben Fulcher,,CDAC NDP-048
NASA TOMS Ozone,http://toms.gsfc.nasa.gov/ozone/ozoneother.html,Data Product: Zonal Mean,"I took the range of zones over which there was good data
Linearly interpolating the few missing values in each range",Ben Fulcher,4,NASA data
SPIDR,http://spidr.ngdc.noaa.gov,,,Ben Fulcher,,
SPIDR Geomagnetic,,"Geomagnetic Indicies
I took Aa index, Am index, DST index, Ap index, C9 index, Cp index, Kp index, solar radio flux, and sunspot number over the period 1/1/1990-1/1/2000","For time series longer than 20 000 points, random segments were taken of lengths ranging from 5000-20000 from somewhere in the time series, marked with L<> for the length of the subsegment",Ben Fulcher,,SPIDR
SPIDR HPI DMSP,,,"I've processed them in the same way as for the geometric indicies above
It's modified so that the subsegments can never overlap -- each dataset is now
unique -- containing no overlapping points with other data sets",Ben Fulcher,,SPIDR
SPIDR HPI NOAA,,,Processed as above HPI DMSP,Ben Fulcher,,SPIDR
SPIDR VOSTOK,,,Processed as for HPI DMSP,Ben Fulcher,,SPIDR
SPIDR Solar Data,,,,Ben Fulcher,,SPIDR
SPIDR Cosmic Ray Indicies,,(4096 format),"I've saved these as I received them.
Some are obviously distorted by changes throughout the period of the time series and therefore don't reflect the cosmic ray time series accurately, but I've left them in as an example of such signals",Ben Fulcher,,SPIDR
SPIDR Geomagnetic annual means -- Ionosphere,,,,Ben Fulcher,,SPIDR
SPIDR Radio Solar Telescope Network,,,"This is pretty bad data! -- mostly missing values
I've taken from each the longest stretch of not missing values, which is 
typically short (<1000 points) and highly nonstationary",Ben Fulcher,,SPIDR
SPIDR Interplanetary Magnetic Field,,"WIND and ACE and IMP8 are stations
magnetic fields in each direction are given by bx,by,bz
swDensity is the Ion density /cm^3
swVelZ is the flow speed (z component) in km/s
meanDelay is the time delay (daily average) to magnitosphere
posY is the position of the satellite (y component)
Data for:
(*) Minutely data from 1/1/1995 -- 1/6/1995 of a variety of quantities (labeled ""__minly"")
(*) Hourly data from 1/1/2000 -- 1/1/2001 (labeled ""_hrly"")
(*) Daily 1980-2000 (but each station has its own time range limitations) (labeled ""_daily"")",,Ben Fulcher,,SPIDR
Financial log returns Ben,,This was done on 24/6/2009 using all the data with the 'finance' label at the time using the routine TS_prep_preproc (tsf prepared by TS_prepared filtering 'financial' tags),,Ben Fulcher,,
Macaulay Library,http://macaulaylibrary.org/index.do,,"The files are produced according to Reading_Animal_Sounds.m -- snippets are selected from each time series
labelled in the form s<length(secs)>_f<sampling_frequency>_b<bitrate>_l<length_of_ts>_<audio_file_id_macaulay_library>.dat
Note that the audio file id from the Macaulay library can be used to obtain more information about each time series:
http://macaulaylibrary.org/audio.do?id=1<**ID**>",Ben Fulcher,,
Physionet: Gait Mature,http://physionet.org/physiobank/database/gait-maturation-db/,"Obtained by Max Little from the physionet website on ~28/10/2009
In very young children, immature control of posture and gait result in an unsteady gait. By about three years of age, gait appears relatively mature. However, it is unknown whether the dynamics of walking change beyond this age. Because stride dynamics depend on neural control, we hypothesized that gait dynamics would continue to develop beyond age three. To test this hypothesis, we measured the gait cycle duration on a stride-by-stride basis in healthy children (n=50) ages 3 to 14 years old, using a portable foot-switch device inserted inside of shoes
The following is the given description:
The data contained here are from 50 healthy children ranging in age from 40 months to 163 months. Each data file is named with a subject identifier (1-50) and the subject's age (e.g., the file name 2-45.txt indicates that subject #2 is 45 months old).
Each data file contains two columns of data in text format. The first column is the time (in seconds), and the second column is the stride interval (in seconds) or the gait cycle duration, the time from heel strike to heel strike of the same foot.
For more information, please see Hausdorff et al., Journal of Applied Physiology, vol. 86: 1040-1047, 1999 or contact Dr. Jeff Hausdorff at jhausdor@bidmc.harvard.edu.",,Ben Fulcher,,Physionet
Physionet: Gait PDB,http://www.physionet.org/physiobank/database/gaitpdb/,"Obtained and reformatted by Max Little, from the physionet database on ~28/10/2009","time series keyword-labelled by Ben Fulcher, or at least the intention was there (!):
left/right: (is this what was extracted?)
Just included subsections of the original data",Ben Fulcher,,Physionet
Physionet: NESFDB,http://physionet.org/physiobank/database/nesfdb/,"Obtained and reformatted by Max Little, from the physionet database on ~28/10/2009
'med': mediolateral (side-to-side displacement)
'ant': anteroposterior (front-to-back displacement)
This database contains postural sway measurements for 15 healthy young (mean age 23, standard deviation 2), and 12 healthy elderly (mean age 73, standard deviation 3) volunteers. Each subject's postural sway was recorded during a test of 10 minutes for the young subjects, or 5 minutes for the elderly subjects, in all cases with a 2-minute seated break midway through the test. Each test was divided into 30-second trials, and each file of the database contains data for one of these 30-second trials.
These data were collected for, and first described in:
Priplata AA, Niemi JB, Harry JD, Lipsitz LA, Collins JJ. Vibrating insoles and balance control in elderly people. Lancet 362: 1123-1124 (2003)",,Ben Fulcher,,Physionet
Physionet: Tremor DB,http://www.physionet.org/physiobank/database/tremordb/,"Obtained and reformatted by Max Little, from the physionet database on ~28/10/2009
The recordings of this database are of rest tremor velocity in the index finger of 16 subjects with Parkinson's disease (PD) who receive chronic high frequency electrical deep brain stimulation (DBS) either uni- or bi-laterally within one of three targets:
Vim = the ventro-intermediate nucleus of the thalamus (n=3),
GPi = the internal Globus pallidus (n=7), or
STN = the subthalamic nucleus (n=6).
This surgical procedure involves implanting an electrode into subcortical structures (Vim, GPi or STN) for long-term stimulation at frequencies greater than 100 Hz. The mechanism by which high frequency DBS suppresses tremor and reduces other symptoms in PD is unknown.","time series keyword labels added by Ben Fulcher from sourced information file:
highamp/lowamp: high / low amplitude tremor
dbson/dbsoff/dbsstop<>: dbs on/off/<> minutes after stopped (<>=15,30,45)
medon/medoff: medication on or medication off
gpi/vim/stn: Globus Pallidus interna / Ventro-intermediate nucleus of the thalamus / subthalamic nucleus",Ben Fulcher,,Physionet
Physionet: CHFDB,http://www.physionet.org/physiobank/database/chfdb/,"The BIDMC Congestive Heart Failure Database.
This database includes long-term ECG recordings from 15 subjects (11 men, aged 22 to 71, and 4 women, aged 54 to 63) with severe congestive heart failure (NYHA class 3-4). This group of subjects was part of a larger study group receiving conventional medical therapy prior to receiving the oral inotropic agent, milrinone. Further details about the larger study group are available in the first reference cited above. A number of additional studies have made use of these recordings; see the additional references below.
The individual recordings are each about 20 hours in duration, and contain two ECG signals each sampled at 250 samples per second with 12-bit resolution over a range of ±10 millivolts. The original analog recordings were made at Boston's Beth Israel Hospital (now the Beth Israel Deaconess Medical Center) using ambulatory ECG recorders with a typical recording bandwidth of approximately 0.1 Hz to 40 Hz. Annotation files (with the suffix .ecg) were prepared using an automated detector and have not been corrected manually.
This database is a subset of the data described in
Baim DS, Colucci WS, Monrad ES, Smith HS, Wright RF, Lanoue A, Gauthier DF, Ransil BJ, Grossman W, Braunwald E. Survival of patients with severe congestive heart failure treated with oral milrinone. J American College of Cardiology 1986 Mar; 7(3):661-670.","Time series obtained and reformatted by Max Little, from the physionet database on ~28/10/2009
Snipped using uniform subsamplings in range 1000-15000 (nonoverlapping) -- automated to take
2 subsegments from each time series (sometimes just one if it's long and it can't find another nonoverlapping
section to use)",Ben Fulcher,,
Physionet: NSRDB,http://physionet.org/physiobank/database/nsrdb/,"This database includes 18 long-term ECG recordings of subjects referred to the Arrhythmia Laboratory at Boston's Beth Israel Hospital (now the Beth Israel Deaconess Medical Center). Subjects included in this database were found to have had no significant arrhythmias; they include 5 men, aged 26 to 45, and 13 women, aged 20 to 50.","Time series obtained and reformatted by Max Little, from the physionet database on ~28/10/2009
Took (up to) 2 subsegments from each of the above nsrdb time series with a length ranging between
1000 and 15000 (randomly chosen) and never overlapping",Ben Fulcher,,
Physionet: MGHDB,http://physionet.org/pn3/mghdb/,"The Massachusetts General Hospital/Marquette Foundation (MGH/MF) Waveform Database is a comprehensive collection of electronic recordings of hemodynamic and electrocardiographic waveforms of patients in critical care units. It is the result of a collaboration between physicians, biomedical engineers and nurses at the Massachusetts General Hospital. The database consists of recordings from 250 patients and represents a broad spectrum of physiologic and pathophysiologic states.
Individual recordings vary in length from 12 to 86 minutes, and in most cases are about an hour long.
The typical recording includes three ECG leads, arterial pressure, pulmonary arterial pressure, central venous pressure, respiratory impedance, and airway CO2 waveforms. Some recordings include intra-cranial, left atrial, ventricular and/or intra-aortic-balloon pressure waveforms. ECG calibration, pressure zero, pressure calibration, and pressure/catheter frequency response tests are also recorded. Relevant clinical data and events are documented for each file.
Codes are:
ECGleadI/II/V - ECG leads
RespImp - Respiratory impedance
ART - Arterial pressure
PAP - Pulmonary arterial pressure
CVP - Central venous pressure
CO2 - Airway CO2
BP - Blood pressure
Pressure1/2/3/4 - Intra-cranial, left atrial, ventricular, intra-aortic-balloon pressure","Time series obtained and reformatted by Max Little, from the physionet database on ~28/10/2009
Took subsections from the full time series -- maximum of two snippets per time series of nonoverlapping subsegments of length
in the range 1000 < N < 15000 samples (rounded to nearest 100 samples)",Ben Fulcher,,
Reprocessed data Ben,,"Linearly detrended data in the database automatically and re-added the linearly-detrended versions. Tag added: ldt
Seasonally detrended data in the database automatically and re-added the seasonally-detrended versions. Tag added: sdt
Snippets of long data from the database. Tags added: 'long_snipped' (to parent) and 'snipee' (to child)",,Ben Fulcher,,
Seismic Shumway Stoffer,http://www.stat.pitt.edu/stoffer/tsa.html,"Obtained from the website for Shumway and Stoffer's textbook: Time Series Analysis and Its Applications 1st Ed
Earthquakes and Explosions - 8 earthquakes, then 8 explosions, then the NZ event. Each event has 2048 points, first the P component (1024) then the S component (1024). One long column of data.
Dataset constructed by Blandford 1993: ""Discrimination of Earthquakes and Explosions"". Report AFTAC-TR-93-044 HQ, Air Force Technical Applications Center, Patrick Air Force Base, FL.
Data set consists of 8 examples of earthquakes, 8 explosions, and one unknown (NZ) event, which is likely to be an explosion (so says Huang et al. 2004; and Kakizawa et al. 1998)","The full seismic recordings are provided, as well as the P-wave and S-wave components separately",Ben Fulcher,3,
Physionet RR CHF NSR,"NSR: http://www.physionet.org/physiobank/database/nsr2db/
CHF: http://www.physionet.org/physiobank/database/chf2db/","NSR: This database includes beat annotation files for 54 long-term ECG recordings of subjects in normal sinus rhythm (30 men, aged 28.5 to 76, and 24 women, aged 58 to 73). The original ECG recordings (not available) were digitized at 128 samples per second, and the beat annotations were obtained by automated analysis with manual review and correction.
CHF: This database includes beat annotation files for 29 long-term ECG recordings of subjects aged 34 to 79, with congestive heart failure (NYHA classes I, II, and III). Subjects included 8 men and 2 women; gender is not known for the remaining 21 subjects. The original ECG recordings (not available) were digitized at 128 samples per second, and the beat annotations were obtained by automated analysis with manual review and correction.","Got from an hrv directory from Max Little
Delayed in implementing -- the data was received in 2009.
Has been subset from the originals, as labeled -- the sample range is given after the original filename (and the prefix MD_RR_) is added to all.
Ages of subjects were tagged as keywords
Ben Fulcher 12/4/2010",Ben Fulcher,,
Eplilepsy Max Little,,"From an epilepsy.tar file given by Max Little. The README2 file suggests the data may be from Michel LE VAN QUYEN??
Anyway, the associated README file:
3 subjects, 3 blocks data for each subject
inter means inter-critique period. This is a baseline for each subject.
focus means the electrodes are near the focus and in the same Hipocampus area.
ctl means that is at the same period of focus but in the a different area 
of the brain.
files:
jouctl.dat, 22563012 bytes, 2400 sec
joufocus.dat, 22563012 bytes, 2400 sec
jouinter.dat, 22562817 bytes, 2400 sec
conctl.dat, 12973320 bytes, 1380 sec
coninter.dat, 22562820 bytes, 2400 sec
confocus.dat, 12697296 bytes, 1380 sec
lutctl.dat, 22571844 bytes, 2400 sec
lutinter.dat, 22562820 bytes, 2400 sec
lutfocus.dat, 9156628 bytes, 1700 sec
format:
first line: number of channel to read = 4
second line: sampling rate in ms = 5
multiplexed channels for the same sampling time with the values in ASCII.
 
seizure time:
jou=1236 sec = sample 247200
con= 900 sec = sample 180000
lut= 840 sec = sample 168000
seizure lenght:
jou=56 sec
con=38 sec
lut=101 sec","I've taken subportions of the original files (channel and subset range are in the filename).
Ben Fulcher 13/4/2010",Ben Fulcher,14,
Parkinsons Speech Max Little,,"Parkinsons data from Max Little 14/4/2010
Subsetted by Ben Fulcher 14/4/2010
Information from Max Little:
Parkinson's Diseaese voice recordings.
There are 195 voice recordings from 31 subjects, 10 of which are aged-matched healthy controls. On average, there are six recordings per subject. The recordings are sustained phonations of the vowel 'ahhh'. Originally recorded at 44.1kHz, they have been downsampled to 16kHz, and a 'vocally stable' section of the middle of the recording has been retained, starting at 1.0s. Each recording is 2.0s in duration or shorter where the original recording was not long enough. This leaves at most 32,000 samples per recording (a few are shorter). Recordings with filenames ending in 'hc' are from healthy controls. The original study aimed to separate healthy from Parkinson's patients using a range of classical speech analysis algorithms.","I took random subsegments of the data and saved these as _SNIP_ with the initial and final sample number indicated
Full time series are labeled as ""_FULL""
tagged as ""hc"" (healthy control) or ""pd"" (Parkinson's Disease)",Ben Fulcher,,
Berlin Database of Emotional Speech,http://pascal.kgw.tu-berlin.de/emodb/index-1280.html,"The database contains about 500 utterances spoken by actors in a happy, angry, anxious, fearful, bored and disgusted way as well as in a neutral version.
You can select utterances from 10 different actors and ten different texts.
Every utterance is named according to the same scheme:
Positions 1-2: number of speaker
Positions 3-5: code for text
Position 6: emotion (sorry, letter stands for german emotion word)
Position 7: if there are more than two versions these are numbered a, b, c ....
Speakers:
03 - male, 31 years old
08 - female, 34 years
09 - female, 21 years
10 - male, 32 years
11 - male, 26 years
12 - male, 30 years
13 - female, 32 years
14 - female, 35 years
15 - male, 25 years
16 - female, 31 years
EMOTIONS:
letter    emotion (english)    letter    emotion (german)
A    anger    W    Ärger (Wut)
B    boredom    L    Langeweile
D    disgust    E    Ekel
F    anxiety/fear    A    Angst
H    happiness    F    Freude
S    sadness    T    Trauer
N = neutral version
PHRASES
a01    Der Lappen liegt auf dem Eisschrank.    The tablecloth is lying on the frigde.
a02    Das will sie am Mittwoch abgeben.    She will hand it in on Wednesday.
a04    Heute abend könnte ich es ihm sagen.    Tonight I could tell him.
a05    Das schwarze Stück Papier befindet sich da oben neben dem Holzstück.    The black sheet of paper is located up there besides the piece of timber.
a07    In sieben Stunden wird es soweit sein.    In seven hours it will be.
b01    Was sind denn das für Tüten, die da unter dem Tisch stehen?    What about the bags standing there under the table?
b02    Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.    They just carried it upstairs and now they are going down again.
b03    An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.    Currently at the weekends I always went home and saw Agnes.
b09    Ich will das eben wegbringen und dann mit Karl was trinken gehen.    I will just discard this and then go for a drink with Karl.
b10    Die wird auf dem Platz sein, wo wir sie immer hinlegen.    It will be in the place where we always store it.",".Wav files were downsampled by a factor of 2 (filename suffix ""_ds21"", and then saved as time series)",Ben Fulcher,,
Logistic Map A sweep Ben,,"Logistic Map sequences with
Parameter A = [(3.0:0.2:3.4),(3.5:0.01:4)]
Length of time series, N = 10000
Length of initial transient to trim, eta = 20000","Used code making_LMs.m to synthesize Logistic Map time series using the periphery function MkSg_map with input 'logistic'.
Contact Ben Fulcher for this code.",Ben Fulcher,1,
Geoscience data from Max Little,,"A set of geoscience data provided by Dr. Max Little by email
Most data is actually a function of depth in the ground
GR = Gamma Ray
NEUT = Neutrons","Data extracted from .las files
Labeled by original file and its directory (D or E)
Ben Fulcher 23/6/2010 from data given by Max Little
Keywords were appended as appropriate",Ben Fulcher,,
Ben Fulcher noisy sine dataset,,"Sinusoidal signals of length 5000 samples and a period of 20 samples were generated with different amounts of additive gaussian noise
Noise standard deviations were sampled from the following set: [(0:0.01:1), (1.1:0.1:4)]
The noise standard deviation is provided in the filename after ""_eta_"" and corresponds to the standard deviation of noise*100
Dataset generated by Ben Fulcher, 4/9/2010","MkSg_sine function was used (regress_sine directory); contact Ben Fulcher for generative code
MkSg_sine(5000,1,1/20,0,noiser(i)); was used to generate the code, across the full range of standard deviations noiser",Ben Fulcher,1
Ben generated powernoise,,"Generated powerlaw-correlated noise time series of length 5000 samples using powernoise.m Matlab code from Max Little, available at http://www.maxlittle.net/software/powernoise.zip
the power spectrum is deterministic, and the phases are uniformly distributed in the range -pi to +pi
cf. Little MA et al. (2007), ""Exploiting nonlinear recurrence and fractal scaling properties for voice disorder detection"", Biomed Eng Online, 6:23","Usage: x = powernoise(alpha, 5000); where alpha is annotated in the filename.
Used a range of alpha in the dataset, in 0.02 increments from alpha = -1 to 4",Ben Fulcher,1
Ary Magdalena FHR,,Private data emailed by Ary and Magdalena in Harvard Medical School following a brief visit to their group in 2010,"PROCESSED (tag added to time series): Fill in missing data and take real time segments
CONTINUOUS (tag added to time series): Ignore discontinuities
cf. readingfetal.m code explains all the processing applied to the data",Ben Fulcher,8
